p,m,mean_similarity,std_similarity,min_similarity,max_similarity,n_samples
0.2,5,0.9048870330452919,0.0596802223307759,0.6147905588150024,0.9963701963424683,1000
0.2,10,0.8870216906666756,0.06556849801310624,0.4784201383590698,0.9948801398277283,1000
0.2,15,0.8793981709480285,0.06969067437170869,0.43002647161483765,0.9920759201049805,1000
0.2,20,0.8729999160170555,0.07584902821258414,0.39625781774520874,0.9935041069984436,1000
0.2,25,0.873869657933712,0.07248102883851965,0.42042118310928345,0.993614673614502,1000
0.2,30,0.8779785945415497,0.06731464893526648,0.5483502149581909,0.9967185854911804,1000
0.2,35,0.8710499963760376,0.0707424340498937,0.5117185711860657,0.982326328754425,1000
0.2,40,0.8692383912801742,0.0740960255778813,0.4243192672729492,0.9845761060714722,1000
0.2,50,0.8743698444962501,0.06762147591255525,0.5130085945129395,0.9953795075416565,1000
0.2,70,0.8548082113862038,0.07388134678860782,0.3468000292778015,0.97847580909729,1000
0.3,5,0.8569640502631665,0.076593912992672,0.44164466857910156,0.9956648349761963,1000
0.3,10,0.8326165309548378,0.08005706545476184,0.44896864891052246,0.9895319938659668,1000
0.3,15,0.8149783604741097,0.08791673101759709,0.33027100563049316,0.987035870552063,1000
0.3,20,0.812550958365202,0.08345543641832112,0.25136223435401917,0.9643110036849976,1000
0.3,25,0.8019182208776474,0.08714371784709665,0.43938279151916504,0.9752082228660583,1000
0.3,30,0.8077138814926147,0.08884882420319083,0.38633081316947937,0.9860431551933289,1000
0.3,35,0.8004509057551622,0.08979562900588639,0.19791622459888458,0.95941561460495,1000
0.3,40,0.8008720803409815,0.0867848602616234,0.22135572135448456,0.9388715028762817,1000
0.3,50,0.7981851115822792,0.0938505940708215,0.26458069682121277,0.9730747938156128,1000
0.3,70,0.7772261738479137,0.09515635592410214,0.315756618976593,0.9467405676841736,1000
0.4,5,0.8033370174169541,0.08616593540692664,0.35047388076782227,0.960221529006958,1000
0.4,10,0.7729486579596996,0.09024633218699392,0.18062293529510498,0.9726921319961548,1000
0.4,15,0.7495051896870136,0.09465314313909796,0.21865519881248474,0.9375495910644531,1000
0.4,20,0.7416646404862404,0.09589853803073818,0.37084248661994934,0.9528639912605286,1000
0.4,25,0.7326532821059227,0.0987033703932136,0.1960546374320984,0.9287700653076172,1000
0.4,30,0.7438126707077026,0.09279598986341643,0.3699231743812561,0.96478670835495,1000
0.4,35,0.7304634688198567,0.09830226636143317,0.2932043671607971,0.9599599838256836,1000
0.4,40,0.7289682638943196,0.106990493360234,0.18998032808303833,0.925262987613678,1000
0.4,50,0.7297903706729412,0.10066576016623563,0.2550199627876282,0.96554034948349,1000
0.4,70,0.7079580824673176,0.10364887043249828,0.20389407873153687,0.9315258860588074,1000
0.5,5,0.7586497883200646,0.0875816766680425,0.2768305540084839,0.9604349732398987,1000
0.5,10,0.7093958218693733,0.09910802728628815,0.17271849513053894,0.9440972805023193,1000
0.5,15,0.6898242102190852,0.10132837704513165,0.10545723885297775,0.9334994554519653,1000
0.5,20,0.6729704347848893,0.105417681027422,0.21693289279937744,0.9003360271453857,1000
0.5,25,0.6655691357553005,0.10669082164433744,0.25756871700286865,0.8915423154830933,1000
0.5,30,0.675662948101759,0.1061545874106735,0.17314201593399048,0.9282017946243286,1000
0.5,35,0.6613285690248013,0.10869556173007493,0.1696968674659729,0.8658759593963623,1000
0.5,40,0.6579059140980243,0.11052415257499613,0.15415319800376892,0.8797435760498047,1000
0.5,50,0.6547254364937544,0.10727291349128172,0.20987924933433533,0.9192990064620972,1000
0.5,70,0.6314323207885026,0.11006850483575431,0.19969770312309265,0.8857131600379944,1000
0.6,5,0.7064458265304565,0.09564263060862474,0.2852385640144348,0.9353675246238708,1000
0.6,10,0.652809174016118,0.10588909673765522,0.20800311863422394,0.9616232514381409,1000
0.6,15,0.6259093441963196,0.10481349877718804,0.11891259253025055,0.8563430309295654,1000
0.6,20,0.6046131877750158,0.10728013956346978,0.15504905581474304,0.8476886749267578,1000
0.6,25,0.5927764664590359,0.1112406172698969,0.16658298671245575,0.8553144931793213,1000
0.6,30,0.6039711004197598,0.11463737291864362,0.08278991281986237,0.9750181436538696,1000
0.6,35,0.5905244557857513,0.1106633195320285,0.17886130511760712,0.8267462253570557,1000
0.6,40,0.584577133230865,0.11076675260988945,0.12390578538179398,0.8273518085479736,1000
0.6,50,0.5814803992435336,0.11233262212220589,0.07525760680437088,0.8477423191070557,1000
0.6,70,0.5515757723376155,0.11481748780343592,0.1246095523238182,0.8405893445014954,1000
0.7,5,0.6613762405216694,0.09646337872592489,0.23988550901412964,0.9530407190322876,1000
0.7,10,0.5936288205832243,0.1043705193501964,0.10213665664196014,0.8186753988265991,1000
0.7,15,0.562688335556537,0.111969753633519,0.026977363973855972,0.8913949131965637,1000
0.7,20,0.5386750174015761,0.10914542771716412,0.12387529015541077,0.829268753528595,1000
0.7,25,0.5261303968727589,0.10923722009722867,0.15721899271011353,0.8039780259132385,1000
0.7,30,0.5389187882989644,0.11486353110236193,0.03508983552455902,0.8333314657211304,1000
0.7,35,0.5169134137928486,0.10882413397981491,0.1336296796798706,0.8180384635925293,1000
0.7,40,0.5125519184097648,0.1126721615063057,0.0880855992436409,0.8050339221954346,1000
0.7,50,0.5055821340829134,0.11554830163679881,0.10583935678005219,0.8183355331420898,1000
0.7,70,0.48137783436477183,0.11783549371805223,0.056194230914115906,0.7690300941467285,1000
