p,m,mean_similarity,std_similarity,min_similarity,max_similarity,n_samples
0.2,5,0.9012620077729225,0.06500058625631838,0.3997649550437927,0.9971680641174316,1000
0.2,10,0.8865692438483238,0.06932878495590071,0.4465533494949341,0.9974068999290466,1000
0.2,15,0.8799111498892307,0.07289333483126209,0.2754637897014618,0.9955528974533081,1000
0.2,20,0.8743778895735741,0.07404226342179325,0.39090895652770996,0.9914023876190186,1000
0.2,25,0.8658704183399677,0.0817834339852421,0.34820157289505005,0.9834756255149841,1000
0.2,30,0.8762844607234002,0.07257919155072481,0.3178703188896179,0.9955943822860718,1000
0.2,40,0.8681549119353295,0.07359474898976111,0.488523006439209,0.9842696189880371,1000
0.2,50,0.8708507612347602,0.07267871383047456,0.48558473587036133,0.9857179522514343,1000
0.3,5,0.8580438733547926,0.07186495695410722,0.23786143958568573,0.9975759983062744,1000
0.3,10,0.8295178737938405,0.08029372774920851,0.46314865350723267,0.9866153001785278,1000
0.3,15,0.8135101462006569,0.09269086895772864,0.2510031461715698,0.97640061378479,1000
0.3,20,0.814341700732708,0.08474739100780584,0.3504948616027832,0.981163501739502,1000
0.3,25,0.8068444010019302,0.08420191989514676,0.4507541358470917,0.9871699810028076,1000
0.3,30,0.8074314749836922,0.08977337064808619,0.36445048451423645,0.9936658143997192,1000
0.3,40,0.8003138003647328,0.08915989844549826,0.3558073043823242,0.9517160654067993,1000
0.3,50,0.8013801392912865,0.0919161438016243,0.3088311553001404,0.9914690256118774,1000
0.4,5,0.8056705818474292,0.08561410136946608,0.37000495195388794,0.9774176478385925,1000
0.4,10,0.7735978056490421,0.09320918906192914,0.32912948727607727,0.9739581346511841,1000
0.4,15,0.7517426930367946,0.09902836338754895,0.22177767753601074,0.9770674109458923,1000
0.4,20,0.734053621083498,0.10068528640321008,0.28594863414764404,0.9483423233032227,1000
0.4,25,0.7355651161521674,0.09980536961187078,0.23637835681438446,0.9212692379951477,1000
0.4,30,0.738908954873681,0.10473760180337102,0.11981029808521271,0.9844680428504944,1000
0.4,40,0.7301420222818852,0.10227203229547059,0.3007674515247345,0.9309135675430298,1000
0.4,50,0.728090821236372,0.09765023315875321,0.2727651298046112,0.9593141674995422,1000
0.5,5,0.7581336477398872,0.09122060078002364,0.33211445808410645,0.9800732135772705,1000
0.5,10,0.7103686248958111,0.0995797103700871,0.1959514319896698,0.9346911311149597,1000
0.5,15,0.6923142478168011,0.10154201847828763,0.2039526253938675,0.955447793006897,1000
0.5,20,0.6702529155015945,0.10233733073904282,0.2583451569080353,0.9136953353881836,1000
0.5,25,0.6619536032378673,0.10762794527380763,0.23504853248596191,0.9034088253974915,1000
0.5,30,0.6710289848446847,0.10870809095822546,0.17686471343040466,0.9218840599060059,1000
0.5,40,0.6602332892268896,0.10991856607026215,0.11990289390087128,0.8772221803665161,1000
0.5,50,0.656799583017826,0.10510598559293272,0.12024912238121033,0.9454700946807861,1000
0.6,5,0.7091218686401844,0.09452650483830755,0.23500627279281616,0.945798397064209,1000
0.6,10,0.6531811545789242,0.09924208662543386,0.27042731642723083,0.9584709405899048,1000
0.6,15,0.6289049943685532,0.10719866274999991,0.12428265810012817,0.8958810567855835,1000
0.6,20,0.6086166679784656,0.10824826046408136,0.07703693211078644,0.8749232888221741,1000
0.6,25,0.6031158076673746,0.10448124841145881,0.18362899124622345,0.8553470373153687,1000
0.6,30,0.6085116008520126,0.10982942921064238,0.09932932257652283,0.8926554918289185,1000
0.6,40,0.5890737659484148,0.10884481871208243,0.14720728993415833,0.850555419921875,1000
0.6,50,0.5790539452480152,0.11534818299868561,0.009491336531937122,0.8569266200065613,1000
0.7,5,0.6602998927980661,0.09861288713179889,0.20865695178508759,0.8996595144271851,1000
0.7,10,0.5959903079718352,0.10371274526502508,0.15323732793331146,0.8496324419975281,1000
0.7,15,0.5618959187567234,0.10841309447934631,0.06244862824678421,0.8295187950134277,1000
0.7,20,0.5383148780912161,0.1102102377347864,0.13634993135929108,0.8097466230392456,1000
0.7,25,0.5261406142860651,0.11179693944737122,0.1019946038722992,0.784615159034729,1000
0.7,30,0.5384609884284437,0.11504644945394726,0.056449126452207565,0.8941887617111206,1000
0.7,40,0.5127085957154631,0.11161000512001923,0.09831131994724274,0.8026453256607056,1000
0.7,50,0.5071988894790411,0.11235413984673047,0.1403394192457199,0.8403230905532837,1000
